	all-pl	all-sg	arm-pl	arm-sg	ashes-pl	ashes-sg	bark-pl	bark-sg	belly-pl	belly-sg	big-pl	big-sg	bird-pl	bird-sg	bite-sg	black-sg	blood-pl	blood-sg	bone-pl	bone-sg	breast-pl	breast-sg	burn_-sg	cloud-pl	cloud-sg	cold_weather_-pl	cold_weather_-sg	come-pl	come-sg	die-sg	dog-pl	dog-sg	drink-sg	dry-sg	ear-pl	ear-sg	eat-sg	egg-pl	egg-sg	eye-pl	eye-sg	fat_-pl	fat_-sg	feather-pl	feather-sg	fire-pl	fire-sg	fish_-pl	fish_-sg	fly-sg	full-pl	full-sg	give-sg	good-pl	good-sg	ground_on_the_-_-pl	ground_on_the_-_-sg	hair_of_head_-pl	hair_of_head_-sg	head-pl	head-sg	hear-sg	heart-pl	heart-sg	horn-pl	horn-sg	kill-sg	knee-pl	knee-sg	know-sg	leaf-pl	leaf-sg	leg-pl	leg-sg	lie_down_-sg	liver-pl	liver-sg	long-sg	louse-pl	louse-sg	man-pl	man-sg	many-sg	meat-pl	meat-sg	moon-pl	moon-sg	mountain-pl	mountain-sg	mouth-pl	mouth-sg	nail_body_-pl	nail_body_-sg	name-pl	name-sg	neck-pl	neck-sg	new-pl	new-sg	night-pl	night-sg	nose-pl	nose-sg	one-pl	one-sg	path-pl	path-sg	person-pl	person-sg	rain_-pl	rain_-sg	red-pl	red-sg	root-pl	root-sg	round_as_ball_-pl	round_as_ball_-sg	sand-pl	sand-sg	say-sg	see-sg	seed-pl	seed-sg	sit-sg	skin_human_-pl	skin_human_-sg	sleep_-pl	sleep_-sg	small-pl	small-sg	smoke_-pl	smoke_-sg	stand-pl	stand-sg	star-pl	star-sg	stone-pl	stone-sg	sun-pl	sun-sg	swim-sg	tail-pl	tail-sg	tongue-pl	tongue-sg	tooth-pl	tooth-sg	tree-pl	tree-sg	two-pl	two-sg	walk_-sg	warm_weather_-pl	warm_weather_-sg	water-pl	water-sg	what_-pl	what_-sg	white-sg	who_-pl	who_-sg	woman-pl	woman-sg
ndasa B241/1 + teke komono B70		bèèsini / see	makaaka	ikaaka	masiiku	isiiku / lefuta	mapaalu	ipaalu / kesuu	myO	mOOyi / moyu		olayi / nyini	baŅOOdi	ŅOOdi / nyune	kakaka	pidi / piina	misu	mwasu / mukila	biyisi	yisi / mewise	mabèlè	ibèlè / byele	muumba / t∫uku		mayili		pèwu / pfe		yaka / ya	owa / kwa		mva	nuwa / kanyo	kaŅikaŅi / kekaya	maluyi	iluyi / t∫wi	dZa / dZa	mabi	ibi / ki	miisu	dZiisu / disi	mawOngo	iwOngo / maala	masal∂	yisal∂ / lesala	miŅa	muŅa / baa	baswi	swi / t∫wi	fulme / kadjuma		aluunda / luulu	kaaba / waka		ove / bwe		sènZe / tsiye	mikundZe	mwakundZe / pfu	miilu	muulu / t∫we	oyuuka / keyuku		mwalima / tima	masèèmvu	isèèmvu / ntsiima	buma / dyubu		ibOOngu / buwo	oyiba / yaawa	makayi	lakayi / t∫iti	mataamba	itaambi	oyal∂ma / langa lubali		labèèmbè / edyibe	la	basude	sude / tsiina	mabaaka	yibaaka / baleka	nZiimi	baŅama	Ņama / tuwo	basuunZi	suunZi / mwiile		kuudi / kesele	midZumvu	mwadZumvu / uŅwa	Ņala	laŅala / linyala	makuumvu	kuumvu / mutu	matsungu	tsungu / lekii		fuu / nyapeti	bapinZi	pinZi / t∫uku	miilu	dZuulu / aayulu		yOtOlu / mo	mapèyi	pèyi / kuula	batu / baatu	mutu / muntu		mbvula / noko		lwi / mbiye	mikanga	mwakanga / modywa		dyèdZyèta / keiye		inZèyi / siiye	otaanda / siiye	oyènè / moni		mbuulu	mwatitsi / teketsyina	mikanZa	mukanZa / kaana		yulu		itè / kiite	mavutuku	ivutuku / yuku		mwatèlè / motele		mwètsètsè / mvwele		imaŅ∂ / maya		yitaadi / miyi	ofuba	mitsil∂	mutsil∂ / mokili	dZimi	loliimi / lelima	miinu	dZiinu / miina	mili	mwili / ti	ole	byOlu / ele	laanda / dywe		mwabiide / bele		maangu / madZa		ayi / kema	fu / pfooko		nZa / nna	baatu	mwaatu / kaZi
ndasa B241/2		bèèsini			masiiku	isiiku	mapaalu	ipaalu	myOyi	mOOyi		ŋwalaayi	baŅOOdi	ŅOOdi	Oluwa	pidZii		ŋwèsu	biĠisi	Ġisi	mabèèlè	ibèèlè	Ġèt∫uĠa		lèngutu		pèèwu		Oya	OĠwa	bamvaandi	mvaandi	Oŋwa	kaaŅikaaŅi	maluuyi	iluuyi	ĠèdZa	mabi	ibi	misi	dZisi	mawOOngo	iwOOngo	mèsaala	isaala	miŋa	ŋwiiŋa	basyi	syi	Ofulama		luunda	mpa		Ovè		sèèŋZè			myOlu	muulu	Oyuuka		ŋwèlima	mèsèèmbo	isèèmbo	Obuuma		ibOOngu	Oyiiba	makaayi	lakaayi			OnZèyilu		ibaalu		basidè	side	mèbaaka	ibaaka	nZiimi	baŅaama	Ņaama	basuuŋZi	suuŋZi		kuudi	midumbu	dumbu	Ņaala	lèŅaala	makuumbu	kuumbu	matsungu	tsungu		fuu	bipinZi	pinZi	madZuulu	dZuulu		yOOtO		pèyi	baatu	muutu	bamvula	mvula		lwii	mikaaŋga	ŋwèkaaŋga		dZèlèdZèlè		iŋZèyi	Otaanda	Oyèèna	mikuuna	ikuuna	ŋwètsitsi	mikaanZa	mukaanZa		yulu		itè	mabuutuku	ibuutuku		ŋwètèèlè	myètsètsè	ŋwètsètsè	mamaaŅa	imaaŅa	mataadi	itaadi	Ofuba	mitsiila	ŋwetsiila	liimi	lèliimi	mini	dZini	miili	ŋuili			Olaanda		ŋwèbiida		maangu		ayi	fuu		ŋZa	baatu	ŋwatu
nduumo B63/2		bvyesi		kwOĠO		epfutu		gipali		mwoyi		neni		Ņori	gikaĠa	βyo		matsila		βisi		byèlè					pfyO		giya	gikwa			giŅwa	kaya			gidza			misi	dzisi		mari		lit∫ala		mba		t∫wi			ngi			bvè		kutsyè		lipfu		ot∫we	giyuĠa		otima		tyemi	gibuma		bwO	giyaba		lit∫usu		Ġulu	gikOlOĠa		libali	la		t∫ina		balaĠa	bOlO		Ņama		ŋgOndO		kuru		oŅwa		Ņara		kumu		lit∫i		ŅatiĠi		pfibvi				mO		ndzila		mutu		mvula				okaŋa		dzètètè		ndzeyi	gidzuĠa	gimOna		mbutu			okObO				kyèĠè		dzutuĠu		otèlè		Ņati		kèlè		tari	giyOĠa		okila		likita	mini	dzini		oti		wOlO			ba		anza		Ġuna			wu		okasi
mbangwe B23		babèsè	mambO	mbO							banèni	unèni	banoni	inoni	ulubika	yututu	matsia	litsia	biyisa	ayisa	mabeyè	libeyè	idZika						uŋZaka	ugwaka	bamva	mva			baolè	yaolè	udZaka	maki	dZaki	misi	dZisi	mawOŋi	liwOŋi	bisalka	isalka	mu	dZu	basè	sè			baata	uyèkè			bisOpkO	sOpkO	fuyi	yafuyi	ngosi	yangosi	udyukika	miŋlima	uŋlima	miŋlaka	uŋlaka	udyuiika	mabOŋi	libOŋi	uyi·ki·ka	makayi	kayi	binama	anama				yaba	baŅinè	Ņinè	miyumi	unyumi	li·viè		tsitsi	midyaŋi	dyaŋi	mambikila	mbikila	magwana	gwana	maŅayika	iŅayika	mina	dZina	matsiiŋi	tsiiŋi	bat∫a	t∫a	marulu	rulu	muuyu	dZuuyu	bautu	uŋwutu	m∂nsia	nsia	butu	mutu	bamvia	mvia	bilui	lui	bikanga	nkanga			bis∂ŋili	lis∂ŋili	uyakaka	udyènikè			uŋdsi·adsi·dsiè	bikunda	akunda	bambula	mbula		tsèkè		dia·lè		ntitèlè			makooki	likooki	muba	dZu·ba·	udyOkukO	bikundu	akundu	miyimi	yayimi	madyiè	lidyiè				biba	uyandika				manga	bindi	andi	fuu	bansa	nsa	myali	miŋgwali
nduumo B63/1		bwèsi	omyoĠo	xoĠo		efutu		gipali		mwoŅi					gikaĠa	giviĠa		o∫u		βisi		bèlè	ginyèna		limvutu				giya	gikwa		mva	giŅwa	kaya			gidza			misi	dzisi		mari		litsala		mba		t∫wi				gibada		bwe		mutsyè		lifu		otswe	giyuĠa		otima		tsyemi	gibuma		bOŅO	giyaaba			mili	Ġulu	otOlO		lisoĠO	la		tsina		balaĠa	olaĠa		Ņama		ŋgOndO		likuru	mènwa	munwa				kumu		litsingi		ŅatiĠi		lifuunu						ndzela	bati	mOtO		mvula				okanga		dzèrètè		ondzeyi	gilèla	gimOna		ekuna							kèxè		dZu		otèlè		Ņati		limaŅa		munO	giyOĠa		okila		likita	mini	dzini		oti			giyiè		ba		andza		bema			yusi		okasi
kaningi B631			myOĠO	kwOĠO	lifutu	futu	bipali	opali				bineni	baŅOri	ŅOri	okaĠa	βyO		kina	biyesi	oyesi	mabyèlè	libyèlè	onZiĠa		yulu	mabwO	libwO		oya	okwa	bamfa	mfa	oŅwa	okaya	mat∫wi	lit∫wi	onZa	makeyi	likeyi	misi	nZisi		mari	matsala	litsala	matsusu	litsusu	batswi	tswi			mulula	oŋga		bivè		tsyè		fu	mitswe	mutswe	oyuĠa	mitima	mutima	matsyemi	tsyemi	obuma	mabwO	libwO	oyaβa	mabali	libali	miili	kuulu	tsus∂ mutsi		fyO	bila	batsina	tsina	batu	mutu	olaĠa	baŅama	Ņama		ngOndO			miŅwa	muŅwa	Ņara	liŅara	makumu	kumu	maki	liki		pati		ofunu	mayulu	liyulu		OmO		nZila	bati	mutu		mfula		tsO·	mikaa	mukaa		mbulu	munseyi	nseyi	olaĠa	omOnO	bikuna	kuna	mutsina	mukOĠO	kOĠO		tOlO		bikyèĠè				mutèlè	baŅati	Ņati	mamaŅa	limaŅa		muyu	oyObO	mikila	mukila	mapèlè	lipèlè	mini	nZini	miti	muti	bw∂l∂	myèlè	olana		mubira		manZa		koma	fu		u	bakasi	mukasi
tsaangi B53		boosi	myOOĠO	kOOĠO		mufutu	bisuungu	isuungu	myooŅi	mooŅi		la	baŅuŅi	ŅuŅi		lipiindu		makila	maβisi	βisi	mabèèlo	bèèlo	utsuha	mayidu	yidu		piyu		uya	ukwa	bamvwa	mvwa	uŅwa	kaŅa	matswi	tswi	udya	maki	ki	miisu	diisu		maadi	tsala	lisala		mbaahu	batswi	tswi	udumaha		luula	uβa		bwè		toto	naanga	linaanga	mitswè	mutswè		mitima	mutima	matsyèèmbO	tsyèèmbO	uduba	mabOOŋgO	bOOŋgO	uyaaba	makaya	likaya	miilu	kuulu	bwaamina	mabali	bali		batsina	tsina	babahala	bahala	layi	baŅama	Ņama		tsuungi	bisyèlo	isyèlo	miŅwa	muŅwa	Ņala	liŅala	manduhi	nduhi	makiingu	likiingu		iŅati		butsuhu	mayulu	yulu		imosi	manZila	nZila	baatu	muutu	bamvula	mvula		bèèngè	mangaanZi	lingaaZi		lihoongolo		musyèŋuŅu	ulèlè	umono		mihunu	utsaala	mihaanda	muhaanda		tolo		kè		mwiiki		tèlèmè	bamwèlèlè	mwèlèlè	mamaŅa	maŅa		taangu	ubwiila	mikila	mikila	malimi	limi	miiŅu	diiŅu	miti	muti		byOOlè	udwè		Ņaangu		maamba		yima	fuuka		na	bakaasu	mukaasu
(o)mbamba B62/2 (1986)		asiso		kwOgO		ewuru		obayi		muO		onini		Ņwi	Ot∫wa	pi		togi		oyesi		byèlè	Ovua		lengwuri		mpèbè		Oya	Okwa		mva	OŅwa	Oka		t∫wi	OdZa		bi		disi		mari		lèsala		mba		nt∫u	Odma		bara	Ompa		Ovè		nt∫yè		lèmfu		ot∫wi	Oyuga		otima	ant∫yemi	nt∫yemi	Obuma		vuO	Oya		t∫usi		kwulu	OtOlO		lèsOgO	ola		nt∫ina		bala	kwuna		Ņama		ngOndO		okuri		OŅwa		ontori		nkumi		nki		oŅari		lempibi		yulu		OmO		ndZela		mvuru		mvula		ba		okaŅa		dZèrèrè		ondZedyi	Oduga	OmOnO		mburu	O·t∫i·		Oka		tOlO		okyègè		yugi		motèlè		Ņari		kèlè		mwi	OyOgO		okila		lèmpèlè		di		oti·		dZièlè	OZè		ndZusi		andZa		Oma	kubu		na		Okasi
kota B25/4		bahadyè	mabO	obO	makuhu	ikuhu	bebayi	ebayi	myèhi	mwèhi		bonènè	manOdyi	inOdyi	botokaka	nangananga		maZa	behe	ehe	nabè	ibè	bonyèkè		ngutu		telele		boyaka	bowaka	bambwande	mbwande	bowanka	iyoma	malO	ilO	bodyaka	mat∫èhi	it∫èhi	mihO	dyihO			maha	dyaha	myiho	dyiho	ba∫è	∫è	bosangaka			bowèt∫è		yambè		ahehe	mahuwe	huwe	myolo	molo	boyokaka	melema	lema	melaka	ilaka	bobamaka	mbOngO	ibOngO	boyèbaka	bokayi	ikayi	mako	oko	hehebya	behèt∫è	ehèt∫è	bwaba	bahidyè	hidyè	bato	moto	but∫e	bat∫ita	t∫ita	bangOndè	ngOndè	mènkosa	nkosa	mehOnkO	ihOnkO	maŅa	aŅa	minO	dyinO	mat∫ingo	t∫ingo	mihèhu	muhèhu	bepundu	epundu	mohu	dyohu		mOkO	uapèhi	pèyi			bambuwa	mbuwa		luee	menkanga	nkanga		ipoma		nhèli	botandaka	boyènèkè		ikona	insi	menkasa	hinkasa		iyO		bot∫iki		botuku		ntèntè	myesi	mwesi	mamaŅa	imaŅa		yoyi	bopubaka	mèkonda	nkonda	belemi	elemi	minO	dyinO	myele	mweele		mba	bodyongaka		jonga	menso	inso		nde	mpu		iZa	bayito	mwayito
(o)mbamba B62/1 (1973)	aso	eso		kwogo		eguri		obu		muwo		okuru		Ņoyi	otswami	mpi		togi		oyosi		byele	otsuga		leguri		pebe		oya	okwa		mva	oŅwa	kayi		tswi	odya		bi		disi		mari		lesala		mba		tsu	odemga		nto	mpa		ove		osye		fun		otswi	oyuga		otima		ntsyemi	mbuma		nuo	odyaba		tsusi		oyini	okaotolo		lesogo	ola		tsina		balaga	kuna		asagi		ngondo				oŅwa		ontori		kali		nki		onyarigi		lempibu		yulu		omon				mvuru		mvula		tsuo		osina		dyerege		seyi	oduga	okese		butu	okaotsi		oka		ntolo		tseri		yugi		okamotele		nyari		kele		muyi	oyogo		okila		lenpele		ndi		oti		dyuele	odyie		dyusi		andya		oma	okubugu		na		okasi
kota B25/5		hèdyè		bO		kuu	m∂piyo	ipiyo	mjeyi	mweyi		Ņaba		ŅOdi	olumaka	yO		dinya		hee		bè	ohiŅèkè		gutu		iyeuŋ		oyaka	owaka		bwande	ow·aka	oyomiyeke		lO	odZaka		tyèyi	mihO	dihO		Zapo		aha	miyO	diyO		fè	osangaka			owèkè				hèndjè	ohuwe	huwe		molo	oyokaka		lema		laaka	obomaka		bOngO	oyebaka		kayi		ko	onangaka		hètye			hidye		ndoma	but∫e		tjito		ngOndè	mabete	ibete		honko		Ņa		inO		tyingo		heon	bepundu	epundu		un		OkOO		pèyi		moto		mbua		luwe		nkanga		dZelèlè		hèli	otandaka	oyenaka		bolo	ohulaka		kaZa		iyOO		sila				otèmèkè	myesi	mwesi		imanya		yoyi	opubaka	mekondo	kondo		lemi		dinO		mwele		eba	odyungaka		etuku		so		de	puu		Za		mwayito
kota B25/2		baxèyè	mabO	obO	makuxu	ikuxu	bepaZi	epaZi				bwaba	maŅodyi	iŅodyi	bolumaka	nangananga		maZa	bexe	exe	mabè	ibè	boxiŅent∫e		ngulu	maŅewu	iŅewu		boyaka	bowaka	bambwaandè	mbwaandè	bowaŋka	yomeyome	malO	ilO	boyaka	mat∫èxè	it∫èxè	myO	dZyO		maji	maxa	nyaxa		weya	bafe	fe			fua	bowèt∫e		mbèlè	mèxèŋjè	xèŋjè	maxue	oxue	myele	molo	boyokaka	mènlèma	nlèma	m∂nlaka	nlaka	bobomaka	bobOngO	ibOngO	boyebaka	bokayi	ikayi	mako	oko	bonaneet∫e	bexètye	exètye	bonèmè	baxiyè	xiyè	bandamana	ndamana	but∫e	bat∫ito	t∫ito	bangOndè	ngOndè	memboku	mboku	mexOŋko	xOŋko	maŅa	oŅa	minOŋ	yinOŋ	mat∫ingo	t∫ingo		boxèxung	beyundu	eyundu	mOŋ	yOŋ	yeko	moko	mapèyi	pèyi	bato	moto	bambua	mbua		lendete	mekanga	kanga		yènyèlè	mèxèŋli	xèŋli	botandaka	boyènèt∫è	mambolo	mbolo	ŋinsi	mekaZa	nkaZa	mayO	iyO		bosiki		botuku	mètète	ntète	myesi	mwesi	mamaŅa	imaŅa		yoyi		mekondo	nkondo	lelemi	elemi	minOŋ	yinOŋ	myele	mwele		ba	boyongaka		etuku	meso	nso	bande	inde	puŋga	baZa	iZa		mwayito
kwele A85b		kos	mèmbO	mbO		mè∫i		mikaĠal				boota	inin	nin	ètwar	èpiva		maasa	igyes	gyes	mèbil	bil	èdya		iguR		ègyo·		èZè	ègyè	bèbyè	byè	èdèm	sesa	mèlO	èlO	èdè	mèkye	èkye	mis	dis		mèwO	bèsa·	èsa····	mu	du	bèsu	su	èdZu		èlue	èdyè		èŅupi		ebOs		npuo		lo	ègwa		lyem		mila	ègo	mèbom	èbom	egu	ika	ka	mèdo	do	èdyaasi	wis	yis	èdyaOpi	inin	nin	botom	motom	èbu èpi		tit		ngOn	mèt∫ik	èt∫ik	minux	nux	miŅa	Ņa	min	din	m∂t∫uŋ	t∫uŋ		mesa	mipum	pum		do		wat	mindyOŋ	ndyOŋ	bot	mot	bèpi	pi		ZOO	nuka·Ġa	ka·Ġa		lisaa		bè∫è·	èlèè	èbi		pum	ndirie		kuR		gO		mOtie		eguluk		tetel	mikyekyel	kyekyel				gyes	ègwa	mèkèZ	èkèZ		gyem	mègyè	ègyè	ile	le		ba	èdyaR		ègwo		mèdi		ye	pu		Zè	boa·	muma
fang souanke A75		èkwè	m∂kul	akul	m∂su	asu	bikop	ekop	m∂mu	amu		ayap	anOn	OnOn		dZib∂		m∂ki	bivas	èvas	m∂bè	abè	∂dZik	minkut	nkut		av∂p		weeZu	∂wu	b∂mvu	mvu	∂Ņu	nkut	m∂lO	alO	∂dZi	m∂ki	aki	mis	dis	m∂vOŋ	avOŋ	m∂sè	asè	m∂ndwa	ndwa	b∂kOs	kOs	∂yèlè		nZèya	∂β∂		abOŋ		m∂tOi	mimvOt	mvOt	milO	ŋlO			ŋlèm	milak	ŋlak	∂wi		abOŋ	∂yèm		okè	m∂bO	abO	∂mbOmbO		èsik		b∂Ņin	Ņin	b∂fam	fam	abwi·	b∂tsit	tsit	bangOOn	ngOOn		ŋkuu	meŅu	aŅu	byè	dZè	biyOlè	èyOlè	m∂kiŋ	kiŋ		mpf∂fè	m∂lu	alu	mU	dZU		fOOl	m∂Zèn	ŋZèn	bOt	mOt	m∂vmvOng	mvOng		èv∂l∂	minZi	nZi		ngiŋl∂r∂		ns∂l∂	∂dZu	∂yèn		∂bi	tOsi	bikO	ekO		OyO		mOŋO		Otuda		tit∂l∂		OtUtU		akOk		vyè	∂dZOk	m∂ngyèm	ngyèm	ayèm	Oyèm	m∂sOŋ	asOŋ	bilè	èle		bèè	∂wul∂		ayOŋ		m∂nZim		dZi	èfumlO		nZa	binga	minga
kwel A85b		pesi		mbO				kot		mO		boto		nin	èkual	dè		menga		gese		ebei	èdik		iguur		eguw		eje	ege		bwiye	èdè	ses		elO	èdè		edZe		dis		mewe		èsa		du		su	edZu		pwei	edZè		eŅu		bose		bwo		lo	egwa		liem		la	ege		ebong	egu		ka		do	edZasi		ohek	edZau		nindji		motom	ebu		tit		gon		edZok		nUb		Ņa		din		t∫ung		mies		ogem		du		wat		Ze		mut		be		Zoong		kaangal		mbingila		behie	elè	ebe		seow	ndiril		kuor		go				iguluk		tetel		kukuen		ekOk		gyes	egwO		ekèse		dZem		edZi				iba	edZar		egwo		medi		ye	pu		Zè		muma
bekwil A85b		yaas	mèbOO	mbOO		mèsii	Ipèk	pèk	èmO	mO		èđaa	enIn	nIn	èkuaal	dOO		Jia	IJuis	JuIs	mèbel	ebel	èđik		Iguur	mèJuiyo	èJuiyo		èZiè	èJyè	bèbiè	biè	èdè	suasla	mèlOO	èlOO	èđè	mèki	èki	mis	đis		mul	mèsa	èsa	mu	đu	Βèsu	su	èpilal		luor	èJè		ènyO		buas		boo	molO	IlO	ègwak	miliem	liem	melak	lak	ègaa	mèbooŋ	èbooŋ	èguu	Ika	ka	mèpoop	poop	nJaasi	mèbaal	baal	gOlOlO	enIn	nIn	botom	motom	bèkèsa, Zokamua		tit		nguan	mèt∫uk	èt∫uk	imuu	nuu	mèŅa	Ņa	min	đin	met∫u·u·	t∫u·u·		ΒiiZ	Ipum	pum	mo	đo		wat	mèZi	Zi	bot	mot	Βèbi	bi		Zooŋ	ikaŋgal	kaŋal		liZaa		bèsie	èlèè	èbee		mèbek	ndirIl	ikuor	kuor		gOO		wulal		eguluk		titel	bèkuikuin	kuikuin	mèkola	èkola	igwis	gwis	ègwak	Ikiir	kiir	bJem	Jem	mèJè	èJè	eli	li		èba	èkè		gwis		mèdii		yeyi	puu		Zè	bowa	moma
mahongwe B251/1		èèhè		bO		huweeke	mapiyu	ipiyu		ooyi		nènè		nyoodi		mbisi		tOku		he		bèèlè	tumba		mbiisi		yèyikelele		yaa	waa		mbwandè	nOOtO	yooma		looyi	dyaa		t∫èyi	miiwo	diiwo		maadi	masalala	lisalala		onya		fe	∫amba		eloondo	kaba		mbale		hèèndzè		huwe	myoolo	moolo	yooka		nima		laaka	boma		boOŋgO	yeeba		kaya		kolo	nnanga		èèt∫è	layi		hiidzè		baka	boot∫e		nyama		ŋgOndO		koodi		muumbu	lènyaala	nyaala	miinu	diinu		t∫iingo		yeyeemu	bipundu	epundu	madzoolo	dzoolo		OOkO	mapèyi	pèyi	baato	mooto	bambula	mbula		kweehee		nkaaŋga		dzeele dzeele	mahèyi	èhèyi	sOOkO	yeene		nokwè	yiint∫i		kaaZa		lO		lèèleti		butuku		kèèlè		èèsi		kOku		ooyi	kuba	mèt∫eela	t∫eela		lemi	miinu	diinu	myeele	mweele		OOlè	laala		muŅa	miso	nso		t∫ebwe	kobo		kiZa	baito	mwiito
(o)mbamba B62/3 (1989)		basO			awutu	ewutu	epali	Ġèpali	moi	muO		Ola	eŅOyi	ŅOyi	Ġètswa	pii	ntOwi	tOwi	èyosi	Ġèyosi	abyèlè	byèlè	Ġèt∫uĠa	anguti	lènguti		mpèbè		yaĠa	Ġèkwa	amva	mva	Ġènwa	kaya	at∫wi	t∫wi	ĠèdZa	abe	be	miis	diis		maali	ansala	nsala	ambaa	mbaa	ansu	nsu	Ġèdumuwa		Ġeluula	mpa		Obvè	ansyè	nsyè			èt∫wè	Ot∫wè	Ġèyuwa		Otema	antsyemi	tsyemi	ĠèbOma		bvuĠO	Ġèyaba	ntsuusi	tsusi			lOtOlO	mbèmènè	lèbèmènè		ansina	nsina	abalaĠa	balaĠa	nZemi	baŅama	Ņama	angOndO	ngOndO		ĠekOli	èŅwa	OŅwa	èntolo	Ġèntolo		kuumi	ankii	nkii		fuwu	ampipi	lèmpipi	ayulu	yulu		ĠèmO	anZela	nZela	baati	muutu	amvula	mvula		baĠa	ekaŅa	kaŅa		dZèlèdZèlè	aseye	seyi	ĠèduĠa	ĠèmOnO		minkOna	ka	ekaa	Okaa		tOlO		Ġèkyèè	ayuĠi	yuĠi		Otèlè		nyati		kèlè	atali	tali	ĠèyOĠO	ekela	Okela		lilèmi	miin	diin	ète	Ote		byèlè	èlaana		mbalili		anZa		Ġèma	fuwu		na	akaasi	Okaasi
teke Omvula B70	boori	yoori				lefuru		epa		mwe		nini		mpuuri	t∫wi	pinapina		kila		keyeri		byele	tsu		iyiini		nt∫O		ya	kwa		va	nwa	keake		t∫ii	dZa		bi		dyiri		maali		sala		baa		nt∫u	dumi		luula	ngwo		ve		tsye		ufu		t∫wi	ndZwO		tima		∫iya	dyu		mbulabuwo	yaa		tsyuri			puwo		lesOO	la		t∫ina		mwaa bOOlO			nyo·		nt∫wii	ongiya	ongwo		nwa		ingkuri		nkwu·u·		kii		tswatswa		lempibi		yulu		mo						ndo		be		oka·a·		buruburu		iyele	lyeele	muni		ntsaa	vantsyina		baana	latolo			mpfumfuri		yuu		te mu nkiri		ndyeli		kele		tali	tsaba		kila		lelimi		miini		ti		oole	lye		mwii		dZa		ema	puu		waa		kaari
teke Boundji B70				kwo		lesulu		kepa koti		mwoyi		kulu		nŅoni	letswa	pi		akila		keyeri		byele	oleyua		kedZuba		ntso		leya	olekwa		mva	leŅua	nkinye		tswi	oledZa		bi		dZiri		mbali		lesala		mba		ntsu	ley		to	olepa		ovei		ntsie		lemfu		otswi	letyua		otema		ntsyemi	lebuma		bulubuwo	oleya		tsuri		kebele	mbo		lesoo	ola		ntsina		bala	eyii		nŅama		ntsuyi		ongwo		oŅwa		kenkuli		nkumi		nki		tsuatsua		lempibi		yulu		mo		osenè		mvulu		mvula		bè		kekaan		bulubulu		dZele	lela	lemono			ntsina				tolo		okini		yui		okili		ndZeli		kele		tali	oletsaba		okila		lelemi		dZini		oti		bwele	oleyè		oyuna		andZa		ema	puu		na		okari
teke kaleiB70		bwOsi	myO	kwO	mfulu	lèfulu	epa	kepa		èla		otèlè	aŅuni	Ņuni		pi		akila	ewèsi	kèwèsi	abyèlè	byèlè	let∫wa	ediba	kediba		mpèbi		leya	lekwa	amva	mva	leŅwa	keke	atswi	tswi	ledZa	abi	bi	misi	dZisi		mali	nsala	lèsala	ambaa	mbaa	an∫u	n∫u	leduma		tO	lewa		ove	ansye	nsye	mfu	lèmfu	etswi	otswi			Otèma	ansyèmi	nsyèmi	leboma	abulu	bulu	oya	nt∫usi	t∫usi	ntaami	lètaami	bOO	abaa	baa	ola		nsina	abala	bala	ayi		Ņama	answi	nswi	evunu	ovunu	eŅwa	oŅwa	ènkuli	kènkuli	ankumi	nkumi	ankii	nkii		kepu	mpibi	lempibi	ayulu	yulu		kèmO	anZila	nZila	baali	mbulu	amvula	mvula		bè	ekanga	okanga		yetere	adZèle	dZèlè	olyèlè			nsa	nsina	èbana	kèbana		tOlO		kikini	ayuy	yuy		tèmè		Ņeli	akèlè	kèlè	atali	tali	ot∫aba	èkèla	Okèla	ndèmi	lèlèmi	miini	dZiini	eti	oti		dZyèlè	ledZyè		nZani		anZa		ema	puu		na		okasi
nkomi B11e		ođuđu	aĠO	oĠO		ombu		kOmbO	ambumu	iwumu		βolo	inyOni	nyOni	Ġonoma	βyoβyoβyO		nt∫ina	pa	epa	ambwènè	iwènè	Ġopya		eβindi		keyi		Ġobya	Ġodyuwa	imbwa	mbwa	ĠodyOŋga	ĠokaZa	arOyi	orOyi	Ġonya	ake	ike	ant∫O	int∫O		aĠali	iΒowa	owowa		oĠoni	wèrè	ewèrè	Ġopèka		Ġodyonya	Ġopa		bya		nt∫e	itwe	orwe	wondyo	awondyo	ĠodyOĠO	imbenda	mbenda	imeŋgo	meŋgo	Ġodyona	ampuβa	oβuβa	Ġomya	idyaβi	oyaβi	impende	ompende	Ġođèwa	anini	inini	la	imbina	mbina	anome	onome	ntango	inyama	nyama	aĠwèli	oĠwèli	inomba	nomba	aĠwana	oĠwana	ifèra	oβera	ana	ina	impele	ompele		Ona	iĠwèra	oĠwèra	impombo	ompombo		mOri	ikili	okili	anaĠa	oma	iniŋgo	niŋgo		Ġelo	irambaka	orambaka			iZèŋgè	oZèŋgè	ĠoΒulya	Ġodyèna	ant∫O	int∫O	ΒarO	Βanda	eΒanda	ant∫OβinO	ont∫OβinO		aŋgo		otutu		Ġore	iĠèĠèni	aĠèĠèni	ađo	iđo		ŋkombe	ĠodyOĠa	ikwende	okwende	inèmè	onèmè	anO	inO	rere	erere		wani	Ġokènda		mpyO		aniŋgo		ande	pupupu		mèndè	anto	omwanto
